10/29/2025-10:26:22.116256  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.6:1866 -> 172.18.48.80:445
10/29/2025-10:26:22.337071  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.6:1866 -> 172.18.48.80:445
10/29/2025-10:26:22.443803  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.6:1872 -> 172.18.48.80:445
10/29/2025-10:26:22.588267  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.6:1872 -> 172.18.48.80:445
10/29/2025-10:26:29.570230  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.123:7253 -> 172.16.16.145:445
10/29/2025-10:26:30.455416  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.123:7253 -> 172.16.16.145:445
10/29/2025-10:26:30.757917  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.111:53722 -> 172.18.48.80:445
10/29/2025-10:26:31.007504  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.19.111:53721 -> 172.18.48.80:445
10/29/2025-10:26:43.125304  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.142:11636 -> 172.18.48.80:445
10/29/2025-10:26:42.888100  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.142:11634 -> 172.18.48.80:445
10/29/2025-10:26:43.219705  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.142:11636 -> 172.18.48.80:445
10/29/2025-10:26:43.028198  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.142:11634 -> 172.18.48.80:445
10/29/2025-10:26:47.765045  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.140:9072 -> 172.18.48.80:445
10/29/2025-10:26:47.931807  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.140:9072 -> 172.18.48.80:445
10/29/2025-10:26:54.126843  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.22.182:5088 -> 172.18.48.80:445
10/29/2025-10:26:54.247680  [**] [1:2025707:2] ET INFO SMB2 NT Create AndX Request For a .bat File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.22.182:5086 -> 172.18.48.80:445
10/29/2025-10:27:08.465388  [**] [1:2019401:43] ET INFO Vulnerable Java Version 1.8.x Detected [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.23.228:57293 -> 210.241.69.194:80
10/29/2025-10:27:16.504103  [**] [1:2025701:2] ET INFO SMB2 NT Create AndX Request For an Executable File [**] [Classification: Potentially Bad Traffic] [Priority: 2] {TCP} 172.18.18.32:5793 -> 172.18.48.80:445
